HCT1, HCT2, HCT3, TauT1, TauT2, TauT3 
2789529.947171, 5194775.762891, 5368226.161616, 35988760862.720001, 35988760862.720001, 35988760862.720001 
2811650.618444, 5276151.781839, 5466231.189930, 36833036085.919998, 36833036085.919998, 36833036085.919998 
2833567.967284, 5358086.387753, 5565281.587177, 37692079557.120003, 37692079557.120003, 37692079557.120003 
2855278.901549, 5440574.519133, 5665378.259683, 38566062500.000000, 38566062500.000000, 38566062500.000000 
2876780.412616, 5523611.051186, 5766522.022395, 39455157125.119995, 39455157125.119995, 39455157125.119995 
2898069.575160, 5607190.797197, 5868713.599251, 40359536629.919998, 40359536629.919998, 40359536629.919998 
2919143.546903, 5691308.509908, 5971953.623558, 41279375198.720001, 41279375198.720001, 41279375198.720001 
2939999.568332, 5775958.882881, 6076242.638383, 42214848002.719994, 42214848002.719994, 42214848002.719994 
2960634.962384, 5861136.551858, 6181581.096946, 43166131200.000000, 43166131200.000000, 43166131200.000000 
2981047.134109, 5946836.096122, 6287969.363025, 44133401935.520004, 44133401935.520004, 44133401935.520004 
3001233.570297, 6033052.039840, 6395407.711373, 45116838341.120003, 45116838341.120003, 45116838341.120003 
3021191.839086, 6119778.853413, 6503896.328136, 46116619535.519997, 46116619535.519997, 46116619535.519997 
3040919.589543, 6207010.954810, 6613435.311284, 47132925624.320000, 47132925624.320000, 47132925624.320000 
3060414.551210, 6294742.710900, 6724024.671049, 48165937700.000000, 48165937700.000000, 48165937700.000000 
3079674.533645, 6382968.438776, 6835664.330367, 49215837841.919998, 49215837841.919998, 49215837841.919998 
3098697.425917, 6471682.407075, 6948354.125335, 50282809116.320000, 50282809116.320000, 50282809116.320000 
3117481.196099, 6560878.837283, 7062093.805667, 51367035576.320000, 51367035576.320000, 51367035576.320000 
3136023.890727, 6650551.905043, 7176883.035160, 52468702261.920006, 52468702261.920006, 52468702261.920006 
3154323.634242, 6740695.741446, 7292721.392169, 53587995199.999992, 53587995199.999992, 53587995199.999992 
3172378.628412, 6831304.434324, 7409608.370086, 54725101404.320000, 54725101404.320000, 54725101404.320000 
3190187.151733, 6922372.029525, 7527543.377828, 55880208875.520004, 55880208875.520004, 55880208875.520004 
3207747.558819, 7013892.532186, 7646525.740326, 57053506601.120003, 57053506601.120003, 57053506601.120003 
3225058.279761, 7105859.908000, 7766554.699027, 58245184555.519997, 58245184555.519997, 58245184555.519997 
3242117.819481, 7198268.084466, 7887629.412395, 59455433700.000000, 59455433700.000000, 59455433700.000000 
3258924.757065, 7291110.952141, 8009748.956427, 60684445982.719994, 60684445982.719994, 60684445982.719994 
3275477.745082, 7384382.365873, 8132912.325162, 61932414338.720001, 61932414338.720001, 61932414338.720001 
3291775.508886, 7478076.146036, 8257118.431206, 63199532689.919998, 63199532689.919998, 63199532689.919998 
3307816.845904, 7572186.079746, 8382366.106259, 64485995945.120003, 64485995945.120003, 64485995945.120003 
3323600.624915, 7666705.922075, 8508654.101646, 65792000000.000000, 65792000000.000000, 65792000000.000000 
3339125.785312, 7761629.397253, 8635981.088850, 67117741737.119995, 67117741737.119995, 67117741737.119995 
3354391.336352, 7856950.199861, 8764345.660060, 68463419025.919998, 68463419025.919998, 68463419025.919998 
3369396.356399, 7952661.996013, 8893746.328712, 69829230722.720001, 69829230722.720001, 69829230722.720001 
3384139.992150, 8048758.424535, 9024181.530038, 71215376670.720001, 71215376670.720001, 71215376670.720001 
3398621.457854, 8145233.098126, 9155649.621627, 72622057700.000000, 72622057700.000000, 72622057700.000000 
3412840.034524, 8242079.604511, 9288148.883977, 74049475627.519989, 74049475627.519989, 74049475627.519989 
3426795.069135, 8339291.507594, 9421677.521064, 75497833257.119995, 75497833257.119995, 75497833257.119995 
3440485.973816, 8436862.348585, 9556233.660902, 76967334379.520004, 76967334379.520004, 76967334379.520004 
3453912.225037, 8534785.647133, 9691815.356120, 78458183772.320007, 78458183772.320007, 78458183772.320007 
3467073.362782, 8633054.902434, 9828420.584531, 79970587200.000000, 79970587200.000000, 79970587200.000000 
3479968.989722, 8731663.594344, 9966047.249713, 81504751413.919998, 81504751413.919998, 81504751413.919998 
3492598.770378, 8830605.184469, 10104693.181588, 83060884152.319992, 83060884152.319992, 83060884152.319992 
3504962.430279, 8929873.117252, 10244356.137008, 84639194140.319992, 84639194140.319992, 84639194140.319992 
3517059.755115, 9029460.821051, 10385033.800338, 86239891089.919998, 86239891089.919998, 86239891089.919998 
3528890.589888, 9129361.709198, 10526723.784052, 87863185699.999985, 87863185699.999985, 87863185699.999985 
3540454.838051, 9229569.181055, 10669423.629319, 89509289656.319992, 89509289656.319992, 89509289656.319992 
3551752.460653, 9330076.623062, 10813130.806606, 91178415631.519989, 91178415631.519989, 91178415631.519989 
3562783.475474, 9430877.409763, 10957842.716269, 92870777285.119995, 92870777285.119995, 92870777285.119995 
3573547.956160, 9531964.904838, 11103556.689160, 94586589263.520004, 94586589263.520004, 94586589263.520004 
3584046.031355, 9633332.462104, 11250269.987223, 96326067200.000000, 96326067200.000000, 96326067200.000000 
3594277.883828, 9734973.426528, 11397979.804107, 98089427714.719986, 98089427714.719986, 98089427714.719986 
3604243.749605, 9836881.135209, 11546683.265766, 99876888414.719986, 99876888414.719986, 99876888414.719986 
3613943.917096, 9939048.918365, 11696377.431073, 101688667893.920000, 101688667893.920000, 101688667893.920000 
3623378.726216, 10041470.100298, 11847059.292427, 103524985733.120000, 103524985733.120000, 103524985733.120000 
3632548.567517, 10144138.000355, 11998725.776371, 105386062500.000000, 105386062500.000000, 105386062500.000000 
3641453.881311, 10247045.933879, 12151373.744201, 107272119749.120000, 107272119749.120000, 107272119749.120000 
3650095.156794, 10350187.213139, 12304999.992586, 109183380021.919980, 109183380021.919980, 109183380021.919980 
3658472.931176, 10453555.148266, 12459601.254182, 111120066846.720000, 111120066846.720000, 111120066846.720000 
3666587.788808, 10557143.048162, 12615174.198254, 113082404738.719990, 113082404738.719990, 113082404738.719990 
3674440.360307, 10660944.221409, 12771715.431294, 115070619199.999980, 115070619199.999980, 115070619199.999980 
3682031.321692, 10764951.977163, 12929221.497643, 117084936719.520000, 117084936719.520000, 117084936719.520000 
3689361.393513, 10869159.626036, 13087688.880111, 119125584773.120000, 119125584773.120000, 119125584773.120000 
3696431.339985, 10973560.480972, 13247114.000604, 121192791823.519990, 121192791823.519990, 121192791823.519990 
3703241.968130, 11078147.858105, 13407493.220745, 123286787320.319990, 123286787320.319990, 123286787320.319990 
3709794.126909, 11182915.077615, 13568822.842499, 125407801700.000000, 125407801700.000000, 125407801700.000000 
3716088.706372, 11287855.464565, 13731099.108798, 127556066385.920000, 127556066385.920000, 127556066385.920000 
3722126.636800, 11392962.349734, 13894318.204168, 129731813788.320010, 129731813788.320010, 129731813788.320010 
3727908.887857, 11498229.070433, 14058476.255357, 131935277304.319990, 131935277304.319990, 131935277304.319990 
3733436.467744, 11603648.971316, 14223569.331957, 134166691317.919980, 134166691317.919980, 134166691317.919980 
3738710.422353, 11709215.405178, 14389593.447034, 136426291199.999980, 136426291199.999980, 136426291199.999980 
3743731.834433, 11814921.733737, 14556544.557755, 138714313308.319980, 138714313308.319980, 138714313308.319980 
